doc_text,name,lat,lon,country_code3,admin1_name,admin2_name,feature_code,start_char,end_char
S/2020/360_PAR_5_SEN_1,"Although prevention and preparedness measures taken with regard to the COVID -19 pandemic were introduced by authorities with the support of the United Nations, Libya remained at an extremely high risk.",Libya,28.0,17.0,LBY,,,PCLI,161,166
S/2020/360_PAR_6_SEN_1,The ongoing conflict and the current pandemic further weakened the already tenuous economic situation in Lib ya.,Georgia,41.99998,43.4999,GEO,,,PCLI,105,111
S/2020/360_PAR_7_SEN_1,"On 18 and 21 March, respectively, the Government of National Accord and the Libyan National Army responded positively to international calls for an immediate humanitarian truce and a halt to the continuing transfer of all military equipment and personnel to Libya in order to allow local authorities to respond to the pandemic.",Libya,28.0,17.0,LBY,,,PCLI,258,263
S/2020/360_PAR_8_SEN_2,"Armed confrontation intensified in southern Tripoli and spread to ar eas around the airbase in Watiyah, in the country’s north -west section.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,44,51
S/2020/360_PAR_8_SEN_2,"Armed confrontation intensified in southern Tripoli and spread to ar eas around the airbase in Watiyah, in the country’s north -west section.",Waţīyah,35.81048,36.40861,SYR,Idlib,,PPL,95,102
S/2020/360_PAR_8_SEN_3,"On 23 March, the Government of National Accord launched Operation Peace Storm, which it said was a response to the increased attacks by the Libyan National Army on civilian neighbourh oods in Tripoli.",Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,192,199
S/2020/360_PAR_9_SEN_1,"Violence escalated unabated, even after the Security Council issued elements for the press on 26 March, in which concern was expressed about the significant escalation of hostilities on the ground and the possible impact of the pandemic in Libya.",Libya,28.0,17.0,LBY,,,PCLI,240,245
S/2020/360_PAR_9_SEN_5,"On 23 April, the Speaker of the House of Repres entatives, Agila Saleh, announced a new political initiative, calling for the social and political constituencies in eastern, western and southern Libya to each elect a representative to a three - member Presidency Council under the supervision of the United Nations.",Libya,28.0,17.0,LBY,,,PCLI,195,200
S/2020/360_PAR_10_SEN_1,"Following the resignation of my Special Representative for Libya and Head of UNSMIL for health -related reasons, on 11 March, I designate d his Deputy, Stephanie Turco Williams, my Acting Special Representative and Head of UNSMIL.",Libya,28.0,17.0,LBY,,,PCLI,59,64
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",People’s Democratic Republic of Algeria,28.0,3.0,DZA,,,PCLI,28,35
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",People’s Republic of China,35.0,105.0,CHN,,,PCLI,37,42
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",Democratic Republic of the Congo,-2.5,23.5,COD,,,PCLI,48,53
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",Arab Republic of Egypt,27.0,30.0,EGY,,,PCLI,55,60
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",Republic of France,46.0,2.0,FRA,,,PCLI,62,68
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",Italian Republic,42.83333,12.83333,ITA,,,PCLI,70,75
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",Russian Federation,60.0,100.0,RUS,,,PCLI,77,99
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",Republic of Turkey,39.0,35.0,TUR,,,PCLI,101,107
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",United Arab Emirates,23.75,54.5,ARE,,,PCLI,109,133
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",,,,,,,,175,191
S/2020/360_PAR_11_SEN_3,"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",United States,39.76,-98.5,USA,,,PCLI,196,224
S/2020/360_PAR_14_SEN_1,"On 6 January, UNSMIL facilitated the first meeting of the economic track of the intra -Libyan dialogue in Tunis, with 19 participants.",Tunis,36.81897,10.16579,TUN,Tūnis,,PPLC,106,111
S/2020/360_PAR_14_SEN_2,"At the second meeting, held in Cairo on 9 and 10 February and involving 28 representatives of Libyan economic institutions and economic experts, participants agreed to a draft terms of reference for a Libyan expert economic commission and the creation of three working groups to refine specific policy recommendations.",Cairo,30.06263,31.24967,EGY,Cairo,,PPLC,31,36
S/2020/360_PAR_14_SEN_5,"The working groups continued to meet in Libya, with remote participation from other l ocations, to develop the policy recommendations.",Libya,28.0,17.0,LBY,,,PCLI,40,45
S/2020/360_PAR_14_SEN_7,"On 3 February, the Joint Military Commission held its first session in Geneva under the auspices of UNSMIL with the aim of reaching a lasting ceasefire and restoring security to civilian areas.",Genève,46.20222,6.14569,CHE,Geneva,Geneva,PPLA,71,77
S/2020/360_PAR_15_SEN_1,"On 26 February, UNSMIL convened a meeting of the Libyan Political Forum, the political track of the intra -Libyan dialogue, in Geneva.",Genève,46.20222,6.14569,CHE,Geneva,Geneva,PPLA,127,133
S/2020/360_PAR_15_SEN_4,"Also on 26 February, members of the House of Representatives d elegation representing the districts in eastern Libya and who were close to General Haftar withdrew amid disagreement over the selection of representatives of the House of Representatives at the talks.",Libya,28.0,17.0,LBY,,,PCLI,111,116
S/2020/360_PAR_16_SEN_1,The launch of the three tracks of the dialogue en joyed significant support in Libya.,Libya,28.0,17.0,LBY,,,PCLI,79,84
S/2020/360_PAR_16_SEN_2,"On 4 March, 130 prominent Libyans, representing the business community, academia, technocrats, civil society and young people, called for a continuation of the three tracks as the only way to protect Libya from the spect re of war and destruction.",Libya,28.0,17.0,LBY,,,PCLI,200,205
S/2020/360_PAR_17_SEN_1,"Under the co -chairmanship of the Government of Germany and UNSMIL, the international follow -up committee to the Berlin Conferenc e held its inaugural meeting in Munich, Germany, on 16 February.",Munich,48.13743,11.57549,DEU,Bavaria,Upper Bavaria,PPLA,163,169
S/2020/360_PAR_17_SEN_1,"Under the co -chairmanship of the Government of Germany and UNSMIL, the international follow -up committee to the Berlin Conferenc e held its inaugural meeting in Munich, Germany, on 16 February.",Federal Republic of Germany,51.5,10.5,DEU,,,PCLI,171,178
S/2020/360_PAR_17_SEN_2,Representatives of South Africa and Tunisia joined the committee as participants.,South Africa,-29.0,24.0,ZAF,,,PCLI,19,31
S/2020/360_PAR_17_SEN_2,Representatives of South Africa and Tunisia joined the committee as participants.,Republic of Tunisia,34.0,9.0,TUN,,,PCLI,36,43
S/2020/360_PAR_17_SEN_4,"Its next meeting, scheduled to be held in Rome on 19 March under the joint chairmanship of the Government of Italy and UNSMIL, was postponed owing to the pandemic.",Rome,41.89193,12.51133,ITA,Lazio,Città metropolitana di Roma Capitale,PPLC,42,46
S/2020/360_PAR_18_SEN_5,The co-chairmanship of the international humanitarian law and human rights working group was opened to Member States outsid e the Berlin format after the Netherlands Page 5 and Switzerland formally expressed interest in co -chairing that group.,Berlin,44.46867,-71.18508,USA,New Hampshire,Coos County,PPL,130,136
S/2020/360_PAR_18_SEN_5,The co-chairmanship of the international humanitarian law and human rights working group was opened to Member States outsid e the Berlin format after the Netherlands Page 5 and Switzerland formally expressed interest in co -chairing that group.,Kingdom of the Netherlands,52.25,5.75,NLD,,,PCLI,154,165
S/2020/360_PAR_18_SEN_5,The co-chairmanship of the international humanitarian law and human rights working group was opened to Member States outsid e the Berlin format after the Netherlands Page 5 and Switzerland formally expressed interest in co -chairing that group.,Switzerland,47.00016,8.01427,CHE,,,PCLI,177,188
S/2020/360_PAR_19_SEN_2,"My former Special Representative attended the eighth Summit of the Ad Hoc High -level Committee on Libya of the African Union, hosted by the President of the Congo in Brazzaville on 30 January.",Republic of the Congo,-1.0,15.5,COG,,,PCLI,158,163
S/2020/360_PAR_19_SEN_2,"My former Special Representative attended the eighth Summit of the Ad Hoc High -level Committee on Libya of the African Union, hosted by the President of the Congo in Brazzaville on 30 January.",Brazzaville,-4.26613,15.28318,COG,Brazzaville,,PPLC,167,178
S/2020/360_PAR_19_SEN_3,"During a trilateral meetin g with the Chair of the African Union Commission and the High - Level Committee, held in Addis Ababa on 8 February, I tabled a number of proposals to enhance cooperation and synergies between the United Nations and the African Union on Libya.",Addis Ababa,9.02497,38.74689,ETH,Addis Ababa,,PPLC,116,127
S/2020/360_PAR_19_SEN_3,"During a trilateral meetin g with the Chair of the African Union Commission and the High - Level Committee, held in Addis Ababa on 8 February, I tabled a number of proposals to enhance cooperation and synergies between the United Nations and the African Union on Libya.",Libya,28.0,17.0,LBY,,,PCLI,263,268
S/2020/360_PAR_19_SEN_4,"On 9 February, I participated in the African Union summit, held in Addis Ababa, during which the Assembly of the African Union adopted a decision to support the convening by the African Union of an inter -Libyan reconciliation conference, in line with the conclus ions of the Berlin Conference.",Addis Ababa,9.02497,38.74689,ETH,Addis Ababa,,PPLC,67,78
S/2020/360_PAR_19_SEN_5,"On 11 and 12 March, my Chef de Cabinet represented me, heading a delegation, which included my Special Representative to the African Union and the Acting Special Representative for Libya, to the inaugural meeting of the Cont act Group of the Ad Hoc High -level Committee on Libya of the African Union, held in Oyo, the Congo.",Libya,28.0,17.0,LBY,,,PCLI,181,186
S/2020/360_PAR_19_SEN_5,"On 11 and 12 March, my Chef de Cabinet represented me, heading a delegation, which included my Special Representative to the African Union and the Acting Special Representative for Libya, to the inaugural meeting of the Cont act Group of the Ad Hoc High -level Committee on Libya of the African Union, held in Oyo, the Congo.",Oyo,7.51667,1.16667,TGO,,,PPL,310,313
S/2020/360_PAR_19_SEN_5,"On 11 and 12 March, my Chef de Cabinet represented me, heading a delegation, which included my Special Representative to the African Union and the Acting Special Representative for Libya, to the inaugural meeting of the Cont act Group of the Ad Hoc High -level Committee on Libya of the African Union, held in Oyo, the Congo.",Republic of the Congo,-1.0,15.5,COG,,,PCLI,319,324
S/2020/360_PAR_19_SEN_6,The Contact Group decided that the reconciliation conference would be organized in Addis Ababa and expressed the determination of the African Union to coope rate closely with the United Nations to advance the implementation of the conclusions of the Berlin Conference.,Addis Ababa,9.02497,38.74689,ETH,Addis Ababa,,PPLC,83,94
S/2020/360_PAR_20_SEN_1,"On 31 March, the European Union officially launched a new Common Security and Defence Policy military operation in the Mediterranean, opera tion EUNAVFOR MED IRINI, effective 1 April, for an initial period of one year, replacing the European Union military operation in the Southern Central Mediterranean, EUNAVFOR MED operation Sophia, whose mandate ended on 31 March.",Mediterranean Sea,35.0,20.0,NA,,,SEA,119,132
S/2020/360_PAR_20_SEN_1,"On 31 March, the European Union officially launched a new Common Security and Defence Policy military operation in the Mediterranean, opera tion EUNAVFOR MED IRINI, effective 1 April, for an initial period of one year, replacing the European Union military operation in the Southern Central Mediterranean, EUNAVFOR MED operation Sophia, whose mandate ended on 31 March.",French Southern and Antarctic Lands,-43.0,67.0,ATF,,,PCLIX,270,304
S/2020/360_PAR_20_SEN_1,"On 31 March, the European Union officially launched a new Common Security and Defence Policy military operation in the Mediterranean, opera tion EUNAVFOR MED IRINI, effective 1 April, for an initial period of one year, replacing the European Union military operation in the Southern Central Mediterranean, EUNAVFOR MED operation Sophia, whose mandate ended on 31 March.",Sofiadjupet,81.0,12.0,SJM,,,BSNU,329,335
S/2020/360_PAR_20_SEN_3,"Inspections will be carried out of vessels on the high seas off the coast of Libya that are suspected to be carrying arms or related materiel to and from Libya, in strict accordance with Security Council resolution 2292 (2016) and other relevant resolutions.",Libya,28.0,17.0,LBY,,,PCLI,77,82
S/2020/360_PAR_20_SEN_3,"Inspections will be carried out of vessels on the high seas off the coast of Libya that are suspected to be carrying arms or related materiel to and from Libya, in strict accordance with Security Council resolution 2292 (2016) and other relevant resolutions.",Libya,28.0,17.0,LBY,,,PCLI,154,159
S/2020/360_PAR_20_SEN_4,"The operation will also monitor illicit oil exports, build the capacity of and train the Coast Guard and Navy of Libya and support the detection and monitoring of human smuggling and trafficking networks through information gathering and patrolling by aerial assets.",Libya,28.0,17.0,LBY,,,PCLI,113,118
S/2020/360_PAR_23_SEN_1,"During the reporting period, armed clashes, shelling and air strikes continued along the front lines of southern Tripoli.",Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,113,120
S/2020/360_PAR_23_SEN_2,The intensity of the attacks became acute during the political and military talks held in Geneva.,Genève,46.20222,6.14569,CHE,Geneva,Geneva,PPLA,90,96
S/2020/360_PAR_23_SEN_3,"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",Libya,28.0,17.0,LBY,,,PCLI,59,64
S/2020/360_PAR_23_SEN_3,"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",,,,,,,,76,86
S/2020/360_PAR_23_SEN_3,"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",Gharyan,32.17222,13.02028,LBY,Jabal al Gharbi,,PPLA,88,95
S/2020/360_PAR_23_SEN_3,"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",Mişrātah,32.37535,15.09254,LBY,Mişrātah,,PPLA,97,105
S/2020/360_PAR_23_SEN_3,"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",Qaşr al Qarabūllī,32.74506,13.71467,LBY,Tripoli,,PPL,107,116
S/2020/360_PAR_23_SEN_3,"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",,,,,,,,118,126
S/2020/360_PAR_23_SEN_3,"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",Şurmān,35.60616,36.85293,SYR,Idlib,,PPL,128,134
S/2020/360_PAR_23_SEN_3,"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",Zuwārah,32.9312,12.08199,LBY,An Nuqāţ al Khams,,PPLA,139,146
S/2020/360_PAR_24_SEN_1,"In Tripoli, the Libyan National Army reinforced its positions in the Abu Salim, Salah al -Din and Ayn Zarah districts with personnel, armoure d vehicles and Page 6 weaponry, including heavy artillery batteries, ammunition shipments and additional infantry elements.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,3,10
S/2020/360_PAR_24_SEN_1,"In Tripoli, the Libyan National Army reinforced its positions in the Abu Salim, Salah al -Din and Ayn Zarah districts with personnel, armoure d vehicles and Page 6 weaponry, including heavy artillery batteries, ammunition shipments and additional infantry elements.",,,,,,,,69,78
S/2020/360_PAR_24_SEN_1,"In Tripoli, the Libyan National Army reinforced its positions in the Abu Salim, Salah al -Din and Ayn Zarah districts with personnel, armoure d vehicles and Page 6 weaponry, including heavy artillery batteries, ammunition shipments and additional infantry elements.",Muhafazat Salah ad Din,34.5,43.65,IRQ,Salah ad Din,,ADM1,80,93
S/2020/360_PAR_24_SEN_1,"In Tripoli, the Libyan National Army reinforced its positions in the Abu Salim, Salah al -Din and Ayn Zarah districts with personnel, armoure d vehicles and Page 6 weaponry, including heavy artillery batteries, ammunition shipments and additional infantry elements.",,,,,,,,98,107
S/2020/360_PAR_24_SEN_3,"On 18 February , the Libyan National Army targeted the Tripoli port with a barrage of heavy artillery and Grad rockets aimed at destroying a cargo vessel allegedly delivering military equipment to the Government of National Accord.",Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,55,62
S/2020/360_PAR_24_SEN_4,"Later that day and on 29 February, uncr ewed aerial vehicles operated in support of the Government of National Accord attempted to target Libyan National Army positions south of the Ayn Zarah district, but were shot down by Libyan National Army air defence systems.",‘Ayn Zārah,32.81333,13.26972,LBY,Tripoli,,PPL,182,191
S/2020/360_PAR_24_SEN_5,"The concentration of forces by both parties was confirmed in the Zatarnah area and Qarabulli, where clashes had been reported, with the Libyan National Army unsuccessfully attempting to reach the eastern coastal road to disrupt the connection between Misratah and Tripoli.",Qaşr al Qarabūllī,32.74506,13.71467,LBY,Tripoli,,PPL,83,92
S/2020/360_PAR_24_SEN_5,"The concentration of forces by both parties was confirmed in the Zatarnah area and Qarabulli, where clashes had been reported, with the Libyan National Army unsuccessfully attempting to reach the eastern coastal road to disrupt the connection between Misratah and Tripoli.",Mişrātah,32.37535,15.09254,LBY,Mişrātah,,PPLA,251,259
S/2020/360_PAR_24_SEN_5,"The concentration of forces by both parties was confirmed in the Zatarnah area and Qarabulli, where clashes had been reported, with the Libyan National Army unsuccessfully attempting to reach the eastern coastal road to disrupt the connection between Misratah and Tripoli.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,264,271
S/2020/360_PAR_24_SEN_6,"In addition, major Libyan National Army reinforcements reportedly arrived in Aziziyah and the Hayrah area north of Gharyan, which the Libyan National Army lost to the Government of National Accord in June 2019 and has been trying to reclaim.",Al ‘Azīzīyah,32.90941,45.06359,IRQ,Wāsiţ,Qada Al-Azezia,PPLA2,77,85
S/2020/360_PAR_24_SEN_6,"In addition, major Libyan National Army reinforcements reportedly arrived in Aziziyah and the Hayrah area north of Gharyan, which the Libyan National Army lost to the Government of National Accord in June 2019 and has been trying to reclaim.",Al Ḩayrah,25.38148,55.41955,ARE,Sharjah,,PPL,94,100
S/2020/360_PAR_24_SEN_6,"In addition, major Libyan National Army reinforcements reportedly arrived in Aziziyah and the Hayrah area north of Gharyan, which the Libyan National Army lost to the Government of National Accord in June 2019 and has been trying to reclaim.",Gharyan,32.17222,13.02028,LBY,Jabal al Gharbi,,PPLA,115,122
S/2020/360_PAR_25_SEN_1,"On 22 January, the Li byan National Army further extended its previously declared no -fly zone southwards, towards Gharyan and Tarhunah, and threatened to shoot down any military or civilian aircraft approaching Mitiga Airport, in Tripoli.",Gharyan,32.17222,13.02028,LBY,Jabal al Gharbi,,PPLA,115,122
S/2020/360_PAR_25_SEN_1,"On 22 January, the Li byan National Army further extended its previously declared no -fly zone southwards, towards Gharyan and Tarhunah, and threatened to shoot down any military or civilian aircraft approaching Mitiga Airport, in Tripoli.",Tarhuna,32.43501,13.6332,LBY,Al Marqab,,PPL,127,135
S/2020/360_PAR_25_SEN_1,"On 22 January, the Li byan National Army further extended its previously declared no -fly zone southwards, towards Gharyan and Tarhunah, and threatened to shoot down any military or civilian aircraft approaching Mitiga Airport, in Tripoli.",,,,,,,,212,226
S/2020/360_PAR_25_SEN_1,"On 22 January, the Li byan National Army further extended its previously declared no -fly zone southwards, towards Gharyan and Tarhunah, and threatened to shoot down any military or civilian aircraft approaching Mitiga Airport, in Tripoli.",Tripoli,32.88743,13.18733,LBY,Tripoli,,PPLC,231,238
S/2020/360_PAR_26_SEN_1,"Notwithstand ing initial positive responses by both sides to the call for a humanitarian truce by both sides, heavy artillery fire continued on 21 March along the front lines in Tripoli.",Tripoli,34.43352,35.84415,LBN,Liban-Nord,,PPLA,178,185
S/2020/360_PAR_26_SEN_2,"On 24 March, repeated shelling, reportedly by Libyan National Army -affiliated forc es, impacted the Ayn Zarah district, including the Ruwaymi prison.",,,,,,,,101,110
S/2020/360_PAR_26_SEN_2,"On 24 March, repeated shelling, reportedly by Libyan National Army -affiliated forc es, impacted the Ayn Zarah district, including the Ruwaymi prison.",,,,,,,,135,142
S/2020/360_PAR_26_SEN_4,"On 25 March, an attack by Government of National Accord forces agains t the airbase in Watiyah was repelled by the Libyan National Army, aided by reinforcements from the strategic western coastal cities of Sabratah and Surman.",Waţīyah,35.81048,36.40861,SYR,Idlib,,PPL,87,94
S/2020/360_PAR_26_SEN_4,"On 25 March, an attack by Government of National Accord forces agains t the airbase in Watiyah was repelled by the Libyan National Army, aided by reinforcements from the strategic western coastal cities of Sabratah and Surman.",Şabrātah,32.79335,12.48845,LBY,Az Zāwiyah,,PPL,206,214
S/2020/360_PAR_26_SEN_4,"On 25 March, an attack by Government of National Accord forces agains t the airbase in Watiyah was repelled by the Libyan National Army, aided by reinforcements from the strategic western coastal cities of Sabratah and Surman.",Şurmān,35.60616,36.85293,SYR,Idlib,,PPL,219,225
S/2020/360_PAR_26_SEN_5,"Government of National Accord forces reportedly gained control over Surman and Sabratah, as well as Ujaylat, Raqdalin, Jumayl, Zaltan and Assah.",,,,,,,,68,74
S/2020/360_PAR_26_SEN_5,"Government of National Accord forces reportedly gained control over Surman and Sabratah, as well as Ujaylat, Raqdalin, Jumayl, Zaltan and Assah.",,,,,,,,79,87
S/2020/360_PAR_26_SEN_5,"Government of National Accord forces reportedly gained control over Surman and Sabratah, as well as Ujaylat, Raqdalin, Jumayl, Zaltan and Assah.",Al Ajaylat,32.75718,12.37633,LBY,An Nuqāţ al Khams,,PPL,100,107
S/2020/360_PAR_26_SEN_5,"Government of National Accord forces reportedly gained control over Surman and Sabratah, as well as Ujaylat, Raqdalin, Jumayl, Zaltan and Assah.",Al Jumayl,32.85286,12.0612,LBY,An Nuqāţ al Khams,,PPL,119,125
S/2020/360_PAR_26_SEN_5,"Government of National Accord forces reportedly gained control over Surman and Sabratah, as well as Ujaylat, Raqdalin, Jumayl, Zaltan and Assah.",Zalţan,32.94699,11.86668,LBY,An Nuqāţ al Khams,,PPL,127,133
S/2020/360_PAR_26_SEN_5,"Government of National Accord forces reportedly gained control over Surman and Sabratah, as well as Ujaylat, Raqdalin, Jumayl, Zaltan and Assah.",Al ‘Assah,32.82995,11.62926,LBY,An Nuqāţ al Khams,,PPL,138,143
S/2020/360_PAR_27_SEN_1,"Thus far in 2020, 12 reported attacks have impacted 7 health facilities in Libya, while in 2019, 62 attacks impacted 19 health facilities throughout the country.",Libya,28.0,17.0,LBY,,,PCLI,75,80
S/2020/360_PAR_27_SEN_2,"On 4 March 2020, 10 schools in Ayn Zarah and all schools in Misratah that had been closed for more than a month reopened, allowing 127, 000 students to return.",‘Ayn Zārah,32.81333,13.26972,LBY,Tripoli,,PPL,31,40
S/2020/360_PAR_27_SEN_2,"On 4 March 2020, 10 schools in Ayn Zarah and all schools in Misratah that had been closed for more than a month reopened, allowing 127, 000 students to return.",Mişrātah,32.37535,15.09254,LBY,Mişrātah,,PPLA,60,68
S/2020/360_PAR_27_SEN_3,"However, on 8 March, eight schools near Mitiga Airport were closed owing to the risks posed by shelling.",Málaga Airport,36.6749,-4.49911,ESP,Andalusia,Provincia de Málaga,AIRP,40,54
S/2020/360_PAR_28_SEN_2,"On 6 April, an attack on the Great Man -Made River Project in Shuwayrif left some 2 million persons without water for more than a week.",Ash Shuwayrif,29.98333,14.26667,LBY,Jabal al Gharbi,,PPL,62,71
