doc_text,sentence_id
"Armed confrontation intensified in southern Tripoli and spread to ar eas around the airbase in Watiyah, in the country’s north -west section.",S/2020/360_PAR_8_SEN_2
"On 23 March, the Government of National Accord launched Operation Peace Storm, which it said was a response to the increased attacks by the Libyan National Army on civilian neighbourh oods in Tripoli.",S/2020/360_PAR_8_SEN_3
The military escalation complicated efforts by civilian authorities and the population towards putting preventive measures in place to address the pandemic.,S/2020/360_PAR_8_SEN_4
"Violence escalated unabated, even after the Security Council issued elements for the press on 26 March, in which concern was expressed about the significant escalation of hostilities on the ground and the possible impact of the pandemic in Libya.",S/2020/360_PAR_9_SEN_1
"The parties were called upon to de -escalate the fighting, cease hostilities and ensure unhindered access to humanitarian aid throughout the country.",S/2020/360_PAR_9_SEN_2
The Council also reaffirmed the central role of the United Nations in facilitating a Libyan -led and Libyan -owned inclusive political process.,S/2020/360_PAR_9_SEN_3
Page 3 10.,S/2020/360_PAR_9_SEN_4
"On 23 April, the Speaker of the House of Repres entatives, Agila Saleh, announced a new political initiative, calling for the social and political constituencies in eastern, western and southern Libya to each elect a representative to a three - member Presidency Council under the supervision of the United Nations.",S/2020/360_PAR_9_SEN_5
"On the same day, the Commander of the Libyan National Army, General Khalifa Haftar, reiterated that the Libyan Political Agreement and the current Presidency Council were no longer valid, requesting Libyans to empower an institution that was able to lead the country during the transitional period on the basis of a new constitutional declaration.",S/2020/360_PAR_9_SEN_6
"On 27 April, General Haftar announced that he had accepted the mandate provided by the Libyan people to the Libyan National Army to lead the country.",S/2020/360_PAR_9_SEN_7
"On 2 9 April, the Libyan National Army announced a halt to all military operations during the holy month of Ramadan.",S/2020/360_PAR_9_SEN_8
"Following the resignation of my Special Representative for Libya and Head of UNSMIL for health -related reasons, on 11 March, I designate d his Deputy, Stephanie Turco Williams, my Acting Special Representative and Head of UNSMIL.",S/2020/360_PAR_10_SEN_1
The process of appointing a new Special Representative is continuing.,S/2020/360_PAR_10_SEN_2
Implementation of the three -step initiative and the political process,S/2020/360_PAR_10_SEN_3
International efforts to de -escalate the conflict and pave the way for a political solution to the Libyan crisis continued.,S/2020/360_PAR_11_SEN_1
The United Nations and the Government of Germany organized the Berlin Conference on Libya on 19 January.,S/2020/360_PAR_11_SEN_2
"Other participants included Algeria, China, the Congo, Egypt, France, Italy, the Russian Federation, Turkey, the United Arab Emirates, the United Kingdom of Great Britain and Northern Ireland and the United States of America, as well as senior officials from the African Union, the E uropean Union and the League of Arab States.",S/2020/360_PAR_11_SEN_3
"All participants signed the press release, in which they committed themselves to assisting in ending the fighting, refraining from interfering in the conflict and implementing the arms embargo established in Sec urity Council resolution 1970 (2011) .",S/2020/360_PAR_11_SEN_4
Participants called for the cessation of all hostilities and the start of ceasefire negotiations and urged the Libyan parties to resume the political process.,S/2020/360_PAR_11_SEN_5
"In t he press release, all parties were urged to respect international humanitarian law and human rights law fully, and support for security and economic reform was highlighted.",S/2020/360_PAR_11_SEN_6
"An international follow -up committee to the Berlin Conference, consisting of all countries and international organizations that had participated in the Berlin Conference, was established and tasked with assisting in the operationalization of the conclusions of the conference, under the auspices of the United Nations.",S/2020/360_PAR_12_SEN_1
"On the margins o f the conference, Mr. Serraj and General Haftar appointed their respective representatives to the UNSMIL -facilitated 5+5 Joint Military Commission.",S/2020/360_PAR_12_SEN_2
"On 13 February, the Security Council adopted resolution 2510 (2020) , endorsing the conclusions of the Berlin Conference on Libya and expressing unequivocal support for the intra -Libyan dialogue.",S/2020/360_PAR_13_SEN_1
"On 6 January, UNSMIL facilitated the first meeting of the economic track of the intra -Libyan dialogue in Tunis, with 19 participants.",S/2020/360_PAR_14_SEN_1
"At the second meeting, held in Cairo on 9 and 10 February and involving 28 representatives of Libyan economic institutions and economic experts, participants agreed to a draft terms of reference for a Libyan expert economic commission and the creation of three working groups to refine specific policy recommendations.",S/2020/360_PAR_14_SEN_2
"All of the working groups have since met to develop policy recommendations on issues of immediate priority, including revenue distribution, the banking and private sectors and development and reconstruction.",S/2020/360_PAR_14_SEN_3
"The third meeting of the economic track of the dialogue, scheduled for 15 March, was postponed owing to COVID -19.",S/2020/360_PAR_14_SEN_4
"The working groups continued to meet in Libya, with remote participation from other l ocations, to develop the policy recommendations.",S/2020/360_PAR_14_SEN_5
Page 4 16.,S/2020/360_PAR_14_SEN_6
"On 3 February, the Joint Military Commission held its first session in Geneva under the auspices of UNSMIL with the aim of reaching a lasting ceasefire and restoring security to civilian areas.",S/2020/360_PAR_14_SEN_7
"The Gove rnment of National Accord and Libyan National Army delegations, each composed of five military and security officers, discussed provisional security measures and ceasefire arrangements.",S/2020/360_PAR_14_SEN_8
"At the end of the second round of talks, held on 23 February, UNSMIL prepared a draft ceasefire agreement with provisions for the safe return of civilians to their areas of residence.",S/2020/360_PAR_14_SEN_9
It was agreed that the two delegations would present the draft agreement to their respective leaderships for further consultations and that t he Joint Military Commission would reconvene in March to finalize the terms of reference of the subcommittees in charge of the implementation of the agreement.,S/2020/360_PAR_14_SEN_10
"Because of COVID -19, that meeting was postponed.",S/2020/360_PAR_14_SEN_11
My acting Special Representative was in direct contact with Mr. Serraj and General Haftar to urge them to respond to the draft agreement.,S/2020/360_PAR_14_SEN_12
"On 26 February, UNSMIL convened a meeting of the Libyan Political Forum, the political track of the intra -Libyan dialogue, in Geneva.",S/2020/360_PAR_15_SEN_1
"A total of 50 members of the House of Representatives and the High Council of State, other political representatives, women leaders and civil society representatives were invited to attend.",S/2020/360_PAR_15_SEN_2
"Shortly before the meeting, the High Council of State reaffirmed its commitment to the p olitical dialogue, but announced that the participation of its delegates would be contingent on progress made on military talks and on the return of displaced persons to their places of origin.",S/2020/360_PAR_15_SEN_3
"Also on 26 February, members of the House of Representatives d elegation representing the districts in eastern Libya and who were close to General Haftar withdrew amid disagreement over the selection of representatives of the House of Representatives at the talks.",S/2020/360_PAR_15_SEN_4
The launch of the three tracks of the dialogue en joyed significant support in Libya.,S/2020/360_PAR_16_SEN_1
"On 4 March, 130 prominent Libyans, representing the business community, academia, technocrats, civil society and young people, called for a continuation of the three tracks as the only way to protect Libya from the spect re of war and destruction.",S/2020/360_PAR_16_SEN_2
"As at 27 April, the meetings of the three UNSMIL -facilitated tracks had been postponed owing mainly to measures taken in response to COVID -19.",S/2020/360_PAR_16_SEN_3
"UNSMIL, however, continued to engage with all Libyan representatives on the three trac ks with a view to resuming the meetings as soon as possible.",S/2020/360_PAR_16_SEN_4
International follow -up committee to the Berlin Conference,S/2020/360_PAR_16_SEN_5
"Under the co -chairmanship of the Government of Germany and UNSMIL, the international follow -up committee to the Berlin Conferenc e held its inaugural meeting in Munich, Germany, on 16 February.",S/2020/360_PAR_17_SEN_1
Representatives of South Africa and Tunisia joined the committee as participants.,S/2020/360_PAR_17_SEN_2
"As the executive secretariat of the Berlin Process, the committee is an essential tool for progressively turn ing the principles of the conclusions of the Berlin Conference into tangible action.",S/2020/360_PAR_17_SEN_3
"Its next meeting, scheduled to be held in Rome on 19 March under the joint chairmanship of the Government of Italy and UNSMIL, was postponed owing to the pandemic.",S/2020/360_PAR_17_SEN_4
"On 2 April, UNSMIL chaired the second meeting of the follow -up committee, held on closed -circuit television.",S/2020/360_PAR_18_SEN_1
Participants reiterated their call upon both parties to cease military operations and commit themselves to a humanitarian pause to focus national effo rts on addressing COVID -19.,S/2020/360_PAR_18_SEN_2
Participants stressed the need to maximize international efforts to achieve a permanent ceasefire between the parties to the conflict and encourage the Libyan parties to continue their engagement on the three UNSMIL -facilitated tracks of the dialogue.,S/2020/360_PAR_18_SEN_3
"Participants agreed on the co -chairs of three committee working groups (political, security and economic).",S/2020/360_PAR_18_SEN_4
The co-chairmanship of the international humanitarian law and human rights working group was opened to Member States outsid e the Berlin format after the Netherlands Page 5 and Switzerland formally expressed interest in co -chairing that group.,S/2020/360_PAR_18_SEN_5
"Following the agreement on the co -chairmanship of the three working groups, the political and economic group each met once, while the security group met four times by videoconference.",S/2020/360_PAR_18_SEN_6
International and regional engagement,S/2020/360_PAR_18_SEN_7
"In addition to cooperating in the Berlin Process, the United Nations sustained its engagement with international and regional stakeholders to enlist support for a politi cal solution to the Libyan conflict.",S/2020/360_PAR_19_SEN_1
"My former Special Representative attended the eighth Summit of the Ad Hoc High -level Committee on Libya of the African Union, hosted by the President of the Congo in Brazzaville on 30 January.",S/2020/360_PAR_19_SEN_2
"During a trilateral meetin g with the Chair of the African Union Commission and the High - Level Committee, held in Addis Ababa on 8 February, I tabled a number of proposals to enhance cooperation and synergies between the United Nations and the African Union on Libya.",S/2020/360_PAR_19_SEN_3
"On 9 February, I participated in the African Union summit, held in Addis Ababa, during which the Assembly of the African Union adopted a decision to support the convening by the African Union of an inter -Libyan reconciliation conference, in line with the conclus ions of the Berlin Conference.",S/2020/360_PAR_19_SEN_4
"On 11 and 12 March, my Chef de Cabinet represented me, heading a delegation, which included my Special Representative to the African Union and the Acting Special Representative for Libya, to the inaugural meeting of the Cont act Group of the Ad Hoc High -level Committee on Libya of the African Union, held in Oyo, the Congo.",S/2020/360_PAR_19_SEN_5
The Contact Group decided that the reconciliation conference would be organized in Addis Ababa and expressed the determination of the African Union to coope rate closely with the United Nations to advance the implementation of the conclusions of the Berlin Conference.,S/2020/360_PAR_19_SEN_6
"On 31 March, the European Union officially launched a new Common Security and Defence Policy military operation in the Mediterranean, opera tion EUNAVFOR MED IRINI, effective 1 April, for an initial period of one year, replacing the European Union military operation in the Southern Central Mediterranean, EUNAVFOR MED operation Sophia, whose mandate ended on 31 March.",S/2020/360_PAR_20_SEN_1
"The new operation’s core mandate is to contribute to the implementation of the United Nations arms embargo through the use of aerial, satellite and maritime assets.",S/2020/360_PAR_20_SEN_2
"Inspections will be carried out of vessels on the high seas off the coast of Libya that are suspected to be carrying arms or related materiel to and from Libya, in strict accordance with Security Council resolution 2292 (2016) and other relevant resolutions.",S/2020/360_PAR_20_SEN_3
"The operation will also monitor illicit oil exports, build the capacity of and train the Coast Guard and Navy of Libya and support the detection and monitoring of human smuggling and trafficking networks through information gathering and patrolling by aerial assets.",S/2020/360_PAR_20_SEN_4
"On 8 April, at the request of the Security Council, the Under -Secretary -General for Political and Peacebuilding Affairs and the Deputy Secretary -General of the European External Action Service briefed the Co uncil EUNAVFOR MED operation",S/2020/360_PAR_21_SEN_1
IRINI.,S/2020/360_PAR_22_SEN_1
Situation in the western region,S/2020/360_PAR_22_SEN_2
"During the reporting period, armed clashes, shelling and air strikes continued along the front lines of southern Tripoli.",S/2020/360_PAR_23_SEN_1
The intensity of the attacks became acute during the political and military talks held in Geneva.,S/2020/360_PAR_23_SEN_2
"Intense fighting also occurred in ot her cities in western Libya, including Abu Qurayn, Gharyan, Misratah, Qarabulli, Sabratah, Surman and Zuwarah.",S/2020/360_PAR_23_SEN_3
"In Tripoli, the Libyan National Army reinforced its positions in the Abu Salim, Salah al -Din and Ayn Zarah districts with personnel, armoure d vehicles and Page 6 weaponry, including heavy artillery batteries, ammunition shipments and additional infantry elements.",S/2020/360_PAR_24_SEN_1
"The Libyan National Army also targeted alleged Government of National Accord reinforcements, including from foreign sources.",S/2020/360_PAR_24_SEN_2
"On 18 February , the Libyan National Army targeted the Tripoli port with a barrage of heavy artillery and Grad rockets aimed at destroying a cargo vessel allegedly delivering military equipment to the Government of National Accord.",S/2020/360_PAR_24_SEN_3
"Later that day and on 29 February, uncr ewed aerial vehicles operated in support of the Government of National Accord attempted to target Libyan National Army positions south of the Ayn Zarah district, but were shot down by Libyan National Army air defence systems.",S/2020/360_PAR_24_SEN_4
"The concentration of forces by both parties was confirmed in the Zatarnah area and Qarabulli, where clashes had been reported, with the Libyan National Army unsuccessfully attempting to reach the eastern coastal road to disrupt the connection between Misratah and Tripoli.",S/2020/360_PAR_24_SEN_5
"In addition, major Libyan National Army reinforcements reportedly arrived in Aziziyah and the Hayrah area north of Gharyan, which the Libyan National Army lost to the Government of National Accord in June 2019 and has been trying to reclaim.",S/2020/360_PAR_24_SEN_6
"On 22 January, the Li byan National Army further extended its previously declared no -fly zone southwards, towards Gharyan and Tarhunah, and threatened to shoot down any military or civilian aircraft approaching Mitiga Airport, in Tripoli.",S/2020/360_PAR_25_SEN_1
"The airport was targeted with indirect fire in a string of Libyan National Army attacks with indirect fire by forces, with a peak of 50 shells on 28 February.",S/2020/360_PAR_25_SEN_2
The attacks disrupted the airport’s operation and resulted in civilian casualties and damage to nearby civilian homes.,S/2020/360_PAR_25_SEN_3
"Notwithstand ing initial positive responses by both sides to the call for a humanitarian truce by both sides, heavy artillery fire continued on 21 March along the front lines in Tripoli.",S/2020/360_PAR_26_SEN_1
"On 24 March, repeated shelling, reportedly by Libyan National Army -affiliated forc es, impacted the Ayn Zarah district, including the Ruwaymi prison.",S/2020/360_PAR_26_SEN_2
"UNSMIL condemned the attacks, which had resulted in several injuries, reportedly including inmates and judicial police.",S/2020/360_PAR_26_SEN_3
"On 25 March, an attack by Government of National Accord forces agains t the airbase in Watiyah was repelled by the Libyan National Army, aided by reinforcements from the strategic western coastal cities of Sabratah and Surman.",S/2020/360_PAR_26_SEN_4
"Government of National Accord forces reportedly gained control over Surman and Sabratah, as well as Ujaylat, Raqdalin, Jumayl, Zaltan and Assah.",S/2020/360_PAR_26_SEN_5
The developments could endanger the previous fragile stability in towns close to the Tunisian border that have thus far not been affected directly by the conflict.,S/2020/360_PAR_26_SEN_6
"Thus far in 2020, 12 reported attacks have impacted 7 health facilities in Libya, while in 2019, 62 attacks impacted 19 health facilities throughout the country.",S/2020/360_PAR_27_SEN_1
"On 4 March 2020, 10 schools in Ayn Zarah and all schools in Misratah that had been closed for more than a month reopened, allowing 127, 000 students to return.",S/2020/360_PAR_27_SEN_2
"However, on 8 March, eight schools near Mitiga Airport were closed owing to the risks posed by shelling.",S/2020/360_PAR_27_SEN_3
"As at 16 March, at least 930 families (approximately 4,650 persons) were reported to have fled to neighbouring areas.",S/2020/360_PAR_27_SEN_4
Vital services and civilian infrastructure continued to be impacted by the hostilities.,S/2020/360_PAR_28_SEN_1
"On 6 April, an attack on the Great Man -Made River Project in Shuwayrif left some 2 million persons without water for more than a week.",S/2020/360_PAR_28_SEN_2
"Following a mediated solution, the r esumption of water distribution was complicated by the hindering of the supply of natural gas to power stations in Misratah and Khums by another armed group in a different area.",S/2020/360_PAR_28_SEN_3
Page 7 Situation in the eastern region,S/2020/360_PAR_28_SEN_4
"In the eastern region, there were cont inued reports of criminal activity and incidents related to explosive remnants of war.",S/2020/360_PAR_29_SEN_1
"On 23 February, the police in Benghazi reportedly arrested a prominent drug dealer.",S/2020/360_PAR_29_SEN_2
"Demonstrations in support of the Libyan National Army and against Turkish interventio n were held in several cities, including at the United Nations hub in Benghazi, with one demonstration turning violent.",S/2020/360_PAR_29_SEN_3
"On 18 January, the National Oil Corporation declared a force majeure on oil exports from ports in eastern Libya following demonstra tions that day accompanied by calls from the Libyan National Army for ports to be shut down.",S/2020/360_PAR_30_SEN_1
"Oil exports from the eastern ports of Burayqah, Ra’s Lanuf, Hariqah Zuwaytinah and Sidr were halted.",S/2020/360_PAR_30_SEN_2
Situation in the southern region,S/2020/360_PAR_30_SEN_3
"The military operat ions of the Libyan National Army in western Libya continued to exacerbate the security vacuum in the southern region, with criminality and suspected terrorist -related activity continuing.",S/2020/360_PAR_31_SEN_1
"In Sabha, Tebu -affiliated armed elements established checkpoints and imposed illegal taxation on the movement of people and goods.",S/2020/360_PAR_31_SEN_2
"On 30 January, one civilian was reportedly killed in clashes between two unidentified armed groups on Mahdiah Road.",S/2020/360_PAR_31_SEN_3
"Other reported criminal incidents included assassinations, carjacking, abduct ions and smuggling.",S/2020/360_PAR_31_SEN_4
"In a move coordinated between the Libyan National Army and local tribal actors, oil fields in the south -western portion of Libya were shut down.",S/2020/360_PAR_32_SEN_1
"On 20 January, the National Oil Corporation extended the force majeure to all onshore ports following instructions from the Libyan National Army to shut down production at oil fields in Shararah, Hamada and Fil.",S/2020/360_PAR_32_SEN_2
Islamic State in Iraq and the Levant in Libya,S/2020/360_PAR_32_SEN_3
"On 28 January, suspected members of Islamic State in Iraq and the Le vant (ISIL) reportedly attacked a checkpoint west of the southern city of Murzuq, killing one security element.",S/2020/360_PAR_33_SEN_1
"While there was limited ISIL activity during the reporting period, observers assessed that ISIL and other terrorist groups may seek to take adva ntage of the general lack of security in southern Libya in order to expand their activities.",S/2020/360_PAR_33_SEN_2
Economic situation,S/2020/360_PAR_33_SEN_3
"The sustainability of the economic situation in Libya is becoming increasingly tenuous, and the situation will be further exacerbated b y COVID -19.",S/2020/360_PAR_34_SEN_1
"Since the blockage of oil exports imposed by the Libyan National Army on 17 January, the primary export of Libya was reduced from 1.2 million to 72,000 barrels per day, resulting in accumulated losses amounting to more than $4 billion.",S/2020/360_PAR_34_SEN_2
"To offse t the diminished revenues, the Central Bank of Libya and the Government of National Accord attempted to impose long -overdue austerity measures, including cuts to the public service payroll and a reduction in fuel subsidies.",S/2020/360_PAR_34_SEN_3
"The blockage of oil exports also resulted in the shutdown of the country’s domestic oil refinery capacity, thereby requiring the National Oil Corporation to purchase refined petroleum products.",S/2020/360_PAR_34_SEN_4
"Although the Corporation had been providing sufficient refined fuel for commercial purposes, on 13 March, authorities in eastern Libya imported fuel from the United Arab Emirates to Benghazi, thus undermining the authority of the Corporation and marking the first time that fuel was imported outside normal Corporation channels.",S/2020/360_PAR_34_SEN_5
"The blockage of oil exports and the lack of agreement on a national budget caused delays in salary payments and a reduction in access to foreign exchange, leading to shortages and higher prices for goods.",S/2020/360_PAR_35_SEN_1
"The branch of the Central Bank of Libya in Bayda’ stated on 9 Mar ch that it was unable to finance the parallel Page 8 government beyond salaries, evidence of the growing reluctance of Libyan commercial banks to continue to finance questionable government bonds issued by the parallel Ministry of Finance in eastern Libya.",S/2020/360_PAR_35_SEN_2
"If lef t unaddressed, the prices of staple goods are likely to increase further, and tensions within the banking sector could lead to its collapse.",S/2020/360_PAR_35_SEN_3
"UNSMIL, in coordination with international financial institutions, continued its efforts to address economic issues, including the worsening banking crisis.",S/2020/360_PAR_36_SEN_1
"The UNSMIL -facilitated economic dialogue between the two branches of the Central Bank of Libya alleviated some stress on the banking sector, but workarounds are becoming increasingly difficult to maintain.",S/2020/360_PAR_36_SEN_2
A lack of cooperation on the part of the Libyan authorities in facilitating the international audit review of the structure of the Central Bank also narrowed opportunities for the unification of that bank.,S/2020/360_PAR_36_SEN_3
"Working groups, established during a second meeting of the economic track in Cairo in February, are working to find solutions, including by addressing deficiencies in development spending and revenue allocation.",S/2020/360_PAR_36_SEN_4
"Notwithstanding COVID -19, UNSMIL continues to address urgent economic issues, including wi th regard to resuming foreign exchange for basic commodities, facilitating public salary payments, ensuring adequate fuel supply, urging the disbursement of social benefits in exchange for a reduction in fuel subsidies and taking measures to support small and medium -sized businesses.",S/2020/360_PAR_37_SEN_1
Other activities of the United Nations Support Mission in Libya A.,S/2020/360_PAR_37_SEN_2
Electoral support,S/2020/360_PAR_37_SEN_3
"UNSMIL, and the United Nations Development Programme (UNDP) continued to support the High National Elections Commission and the Central Committee for Municipal Council Elections by upgrading voter registration systems.",S/2020/360_PAR_38_SEN_1
The new Commission compound was completed and is fully operational.,S/2020/360_PAR_38_SEN_2
The operations of the Commission and the Committee continued to be hampered by budget shortages and the prevailing security situation in Tripoli.,S/2020/360_PAR_38_SEN_3
"Following a dispute resolution process that lasted eight months, on 14 January, the Central Committee for Municipal Council Elections announced the final results of the Municipal Council elections in Sabha, which had been held on 27 April 2019.",S/2020/360_PAR_39_SEN_1
That process was followed by the election of the new Mayor and the swearing -in ceremony of the new Council by the Minister of Local Governance in Tripoli on 23 January.,S/2020/360_PAR_39_SEN_2
"On 4 March, the Government of National Accord agreed to approve an amendment of the regulation governing municipal elections (decision No.",S/2020/360_PAR_40_SEN_1
"18/2019), which will allow the Central Committee for Municipal Council Elections to resume the holding of municipal electi ons that had been on hold since July 2019.",S/2020/360_PAR_40_SEN_2
"While the amendment has not yet been published in the Official Gazette, the Government signed the respective decree on 18 March (decision No.",S/2020/360_PAR_40_SEN_3
7/2020).,S/2020/360_PAR_40_SEN_4
"A new series of elections is tentatively planned for after the holy month of Ramadan, which ends in May 2020, although it is subject to developments related to COVID -19.",S/2020/360_PAR_40_SEN_5
B.,S/2020/360_PAR_40_SEN_6
"Human rights, transitional justice and the rule of law",S/2020/360_PAR_40_SEN_7
"In response to the appeal by UNSMIL and other United Nations entities to releas e persons arbitrarily detained and to consider releasing pretrial prisoners in the Page 9 context of COVID -19, between March and April, the authorities reportedly released an estimated 1,900 prisoners and detainees.",S/2020/360_PAR_41_SEN_1
"UNSMIL is providing technical guidance to the M inistry of Justice, the Ministry of the Interior and the Supreme Judicial Council with regard to alternatives to detention to support the release of 4,200 detainees who have been awaiting trial for years.",S/2020/360_PAR_41_SEN_2
"On 27 January, UNSMIL and the Office of the Uni ted Nations High Commissioner for Human Rights issued a joint report on the air strike on the Tajura’ detention centre on 2 July 2019, which resulted in the death of at least 53 migrants and refugees.",S/2020/360_PAR_42_SEN_1
"In the report, accountability for violations of interna tional law, as well as urgent action to prevent a repeat of a such an incident, were called for.",S/2020/360_PAR_42_SEN_2
"On 13 March, the Group of African States, with the support of Libya, tabled a resolution at the Human Rights Council to establish a fact -finding mission on th e human rights situation in Libya to document alleged violations and abuses of international human rights and humanitarian law by all parties in Libya since 2016.",S/2020/360_PAR_42_SEN_3
"Owing to the pandemic, however, the session was suspended and voting on the resolution was postponed to a later session.",S/2020/360_PAR_42_SEN_4
"Unlawful deprivation of liberty, detention and torture",S/2020/360_PAR_42_SEN_5
"Some 8,800 individuals, of whom an estimated 60 per cent were in pretrial detention, were held in 28 official prisons nominally under the Ministry of Justice.",S/2020/360_PAR_43_SEN_1
"In total, 278 women, including 184 foreign nationals, and 109 children were held in prisons and/or in judicial police custody.",S/2020/360_PAR_43_SEN_2
"Thousands of others were held in facilities nominally under the control of the Ministry of the Interior or the Ministry of Defence, as well as in facilities directly operated by armed groups.",S/2020/360_PAR_43_SEN_3
"UNSMIL and the Office of the United Nations High Commissioner for Human Rights continued to receive reports of arbitrary or unlawful detention, torture, enforced disappearances, overcrowding, a lack of sanitation and medical neglect, among others, in relation to detention facilities under the control of the Ministry of the Interior.",S/2020/360_PAR_44_SEN_1
"During the reporting period, courts in Libya heard civil and personal status cases only.",S/2020/360_PAR_44_SEN_2
Criminal cases were postp oned because members of the Office of the Public Prosecutor were unwilling or unable to investigate them owing to their fear of retaliation from armed groups.,S/2020/360_PAR_44_SEN_3
"A declaration of emergency was issued on 14 March regarding COVID -19, and on 15 March, the Suprem e Judicial Council issued a decision to postpone the proceedings of civil or criminal court cases until the end of May, with a possibility of further delay.",S/2020/360_PAR_44_SEN_4
"The decision introduces limitations on attendance into court proceedings, including that of defenda nts in criminal cases.",S/2020/360_PAR_44_SEN_5
"If implemented, the provisions would violate existing Libyan law.",S/2020/360_PAR_44_SEN_6
"UNSMIL documented an increase in abductions and enforced disappearances carried out by armed groups across Libya, including of professionals and civil society activists.",S/2020/360_PAR_45_SEN_1
"The Mission continued to receive reports of gross human rights abuses, including killings and the destruction of private property by the armed group 9th Brigade (Kaniyat) in Tarhunah.",S/2020/360_PAR_45_SEN_2
UNSMIL also received credible reports of serious human rights vio lations in Sirte.,S/2020/360_PAR_45_SEN_3
